MethMMD,Kernel,parametre,perturbation,size,mmd,time
MMDl,gaussian,0.5,same,100,-0.02649190085037439,0.00047469139099121094
MMDl,gaussian,0.5,mu+1,100,0.2714837502456082,0.0004887580871582031
MMDl,gaussian,0.5,std*2,100,0.07415025535802108,0.0004897117614746094
MMDl,gaussian,0.5,unif_law,100,-0.0808488994661952,0.0004677772521972656
MMDl,gaussian,1.0,same,100,-0.014749290561050827,0.0004839897155761719
MMDl,gaussian,1.0,mu+1,100,0.2699794397332437,0.0004878044128417969
MMDl,gaussian,1.0,std*2,100,0.07447820564024248,0.00048542022705078125
MMDl,gaussian,1.0,unif_law,100,-0.07119264161533038,0.0004754066467285156
MMDl,gaussian,2.0,same,100,-0.008995982229319566,0.00047326087951660156
MMDl,gaussian,2.0,mu+1,100,0.22596621845725282,0.00048804283142089844
MMDl,gaussian,2.0,std*2,100,0.059747512266413026,0.0005230903625488281
MMDl,gaussian,2.0,unif_law,100,-0.05053588136679096,0.00048828125
MMDl,gaussian,5.0,same,100,-0.003705385403291359,0.0004742145538330078
MMDl,gaussian,5.0,mu+1,100,0.14193666735418517,0.0005443096160888672
MMDl,gaussian,5.0,std*2,100,0.04401758104700079,0.000492095947265625
MMDl,gaussian,5.0,unif_law,100,-0.025956552063918538,0.00047850608825683594
MMDl,laplacian,0.25,same,100,-0.009579057891337612,0.00044727325439453125
MMDl,laplacian,0.25,mu+1,100,0.11695404310269737,0.0004048347473144531
MMDl,laplacian,0.25,std*2,100,0.029954812123249182,0.0004115104675292969
MMDl,laplacian,0.25,unif_law,100,-0.02956023621998341,0.0004088878631591797
MMDl,laplacian,0.5,same,100,-0.01764624347898675,0.000396728515625
MMDl,laplacian,0.5,mu+1,100,0.16627318581629502,0.00041747093200683594
MMDl,laplacian,0.5,std*2,100,0.035943672486650084,0.0004203319549560547
MMDl,laplacian,0.5,unif_law,100,-0.04687044962493623,0.0004012584686279297
MMDl,laplacian,1.0,same,100,-0.02909593962121491,0.00043487548828125
MMDl,laplacian,1.0,mu+1,100,0.18341216510429048,0.0004143714904785156
MMDl,laplacian,1.0,std*2,100,0.027824670513261936,0.00041413307189941406
MMDl,laplacian,1.0,unif_law,100,-0.061890970108195165,0.00040149688720703125
MMDl,laplacian,2.0,same,100,-0.04040978857681967,0.0004017353057861328
MMDl,laplacian,2.0,mu+1,100,0.1403678261361379,0.00041222572326660156
MMDl,laplacian,2.0,std*2,100,-0.0011972834235218599,0.0004429817199707031
MMDl,laplacian,2.0,unif_law,100,-0.0639407965488576,0.0003998279571533203
MMDl,laplacian,5.0,same,100,-0.03791566353111108,0.00040459632873535156
MMDl,laplacian,5.0,mu+1,100,0.04792424001074286,0.00041294097900390625
