Kernel,Kernel_parameter,lambda,law_p,law_q,sigma_H0,sigma_H1,moyenne
gaussian,0.25,0.05,normal_0_1,normal_0_2,1.7344502256654069,1.3592011954446952,0.06944066263082527
gaussian,0.25,0.05,normal_0_1,unif_0_1,1.5966252586192042,1.1227715064812869,0.3138414817728885
gaussian,0.25,0.05,unif_-1_1,normal_1_1,1.6758853683079238,1.8599397361020436,0.25138635759483213
gaussian,0.25,0.05,unif_-1_1,normal_0_2,1.4342284594334933,1.8535896555811302,0.20657040113712338
gaussian,0.25,0.05,unif_-1_1,unif_0_1,1.612209431350477,1.19524715887514,0.26540187597929626
gaussian,0.25,0.01,normal_0_1,normal_1_1,3.428418667743681,4.195776447625922,0.1348189444814786
gaussian,0.25,0.01,normal_0_1,normal_0_2,3.008171730026062,3.3522823813351916,0.07176756056834885
gaussian,0.25,0.01,normal_0_1,unif_0_1,2.8837209904657466,2.338303065719319,0.30008015361827683
gaussian,0.25,0.01,unif_-1_1,normal_1_1,3.4812128729430505,4.141499439933957,0.25857382290094943
gaussian,0.25,0.01,unif_-1_1,normal_0_2,3.349393744684566,3.8949814592296788,0.21451692257044283
gaussian,0.25,0.01,unif_-1_1,unif_0_1,3.425584590976217,2.5631872968661225,0.2676723121823267
gaussian,0.25,0.001,normal_0_1,normal_1_1,9.088352107254554,12.621713668512093,0.1341363932139471
gaussian,0.25,0.001,normal_0_1,normal_0_2,10.39515863696936,10.506008049952326,0.07754452687993124
gaussian,0.25,0.001,normal_0_1,unif_0_1,9.56291444079245,6.955245694576386,0.3077893809204941
gaussian,0.25,0.001,unif_-1_1,normal_1_1,11.435994119135032,14.60720705695217,0.26045297064656175
gaussian,0.25,0.001,unif_-1_1,normal_0_2,10.841251870718473,13.3625261880884,0.2078998297250215
gaussian,0.25,0.001,unif_-1_1,unif_0_1,11.82375512352004,7.874873092459252,0.25016342023158394
gaussian,0.5,1,normal_0_1,normal_1_1,0.42026772604727114,0.5725617347230151,0.170867107866545
gaussian,0.5,1,normal_0_1,normal_0_2,0.44105849304456846,0.4936727665318695,0.08538323772898325
gaussian,0.5,1,normal_0_1,unif_0_1,0.43922472523750666,0.46252850744897855,0.26746939652273544
gaussian,0.5,1,unif_-1_1,normal_1_1,0.3868164893531072,0.5657967507050703,0.2956942816139987
gaussian,0.5,1,unif_-1_1,normal_0_2,0.42214306173034727,0.5091718644724034,0.23585206988998136
gaussian,0.5,1,unif_-1_1,unif_0_1,0.41996434903331115,0.463199812722675,0.22202518882787672
gaussian,0.5,0.8,normal_0_1,normal_1_1,0.4761311915759192,0.6157276024490199,0.15960816155505542
gaussian,0.5,0.8,normal_0_1,normal_0_2,0.44294153524320157,0.5459446107280712,0.07810934208623403
gaussian,0.5,0.8,normal_0_1,unif_0_1,0.4986809557075186,0.48464883900587835,0.2792727416004541
gaussian,0.5,0.8,unif_-1_1,normal_1_1,0.4163132779500025,0.6351312683550581,0.2816114983950797
gaussian,0.5,0.8,unif_-1_1,normal_0_2,0.38844345507684386,0.5883643994357923,0.2327628146584479
gaussian,0.5,0.8,unif_-1_1,unif_0_1,0.4261237610526016,0.5052795002878654,0.21926661575880566
gaussian,0.5,0.5,normal_0_1,normal_1_1,0.5515477954846398,0.6463244740614681,0.15628957778689764
gaussian,0.5,0.5,normal_0_1,normal_0_2,0.516238313185611,0.6119461528072626,0.0885885610748071
gaussian,0.5,0.5,normal_0_1,unif_0_1,0.5491357914713529,0.5108967225222775,0.26227287427074125
gaussian,0.5,0.5,unif_-1_1,normal_1_1,0.47675453506771787,0.747588781003824,0.2913048348826751
gaussian,0.5,0.5,unif_-1_1,normal_0_2,0.4639239759145932,0.7655224881055602,0.23857636238140212
gaussian,0.5,0.5,unif_-1_1,unif_0_1,0.4594464664379669,0.5891539878924386,0.2312454030549935
gaussian,0.5,0.2,normal_0_1,normal_1_1,0.6802398920608322,0.9787036779023628,0.16590645550290287
gaussian,0.5,0.2,normal_0_1,normal_0_2,0.7928603582967924,0.8765714574810806,0.08847761074370064
gaussian,0.5,0.2,normal_0_1,unif_0_1,0.7369374899517306,0.6246485291820936,0.2726660246335981
gaussian,0.5,0.2,unif_-1_1,normal_1_1,0.637441265826887,1.1787669413453323,0.27870615770349666
gaussian,0.5,0.2,unif_-1_1,normal_0_2,0.7038598391212001,1.067640201349353,0.24438809953158588
gaussian,0.5,0.2,unif_-1_1,unif_0_1,0.6714548909577365,0.628521897937242,0.22353636604694624
gaussian,0.5,0.1,normal_0_1,normal_1_1,0.9655437715452903,1.3115843066574189,0.1590332958461281
gaussian,0.5,0.1,normal_0_1,normal_0_2,0.9479846258383983,1.2671952169313585,0.09119944127921388
gaussian,0.5,0.1,normal_0_1,unif_0_1,0.9637346893906601,0.675557694913529,0.27216017684754845
